TeamID,TeamName
1,Rajasthan Royals
2,Royal Challengers Bangalore
3,Sunrisers Hyderabad
4,Delhi Capitals
5,Chennai Super Kings
6,Gujarat Titans
7,Lucknow Super Giants
8,Kolkata Knight Riders
9,Punjab Kings
10,Mumbai Indians
11,Rising Pune Supergiant
12,Gujarat Lions
13,Pune Warriors
14,Deccan Chargers
15,Kochi Tuskers Kerala
